111.40.166.130, 6
61.174.116.31, 2
219.82.145.223, 2
126.59.251.31, 2
34.204.227.175, 43
122.5.240.60, 2
68.182.39.76, 2
119.193.140.203, 2
178.219.248.139, 6
14.54.210.101, 12
123.164.142.82, 2
103.230.120.26, 6
123.120.200.51, 2
58.19.144.50, 6
122.189.198.238, 6
181.23.168.176, 2
201.178.245.106, 2
183.93.215.158, 2
186.130.83.53, 2
122.191.88.115, 2
181.23.26.185, 2
60.165.208.28, 2
59.174.52.12, 2
122.190.143.18, 6
191.81.42.216, 2
222.89.76.13, 2
82.64.2.59, 6
127.0.0.1, 1
201.178.81.113, 32
170.79.155.119, 2
191.83.152.32, 2
218.91.34.237, 2
123.119.111.172, 2
112.101.164.200, 2
49.4.143.105, 40
181.26.186.35, 27
114.32.100.101, 6
201.27.216.125, 2
183.93.253.159, 6
183.146.159.20, 6
73.231.4.205, 2
125.107.136.165, 6
78.106.21.86, 6
5.167.75.191, 2
182.243.85.75, 2
122.144.136.83, 2
177.38.145.209, 6
122.163.61.218, 30
186.128.141.232, 2
119.193.140.176, 6
112.251.168.248, 6
151.241.67.217, 2
181.25.189.115, 6
105.101.221.33, 6
46.89.129.145, 6
190.107.182.33, 2
123.96.5.168, 6
61.166.73.66, 6
1.30.211.144, 6
122.244.28.82, 2
222.186.56.220, 8
95.190.198.34, 2
49.4.143.181, 2
181.25.201.155, 8
106.57.58.19, 2
58.100.135.31, 2
77.231.252.103, 4
49.4.143.5, 2
223.244.185.76, 6
111.40.30.206, 6
122.189.193.214, 2
122.112.235.133, 2
24.151.103.17, 157
85.245.107.41, 11
186.129.147.223, 2
46.30.160.83, 6
94.154.25.149, 2
222.187.86.51, 2
49.84.87.84, 6
110.78.174.75, 6
61.183.117.250, 6
188.18.252.218, 2
123.153.146.183, 6
42.184.142.151, 6
186.47.222.98, 2
181.211.173.182, 2
116.255.253.137, 2
37.110.24.51, 2
122.189.197.241, 2
182.243.87.6, 6
179.38.76.250, 6
178.161.33.80, 2
221.194.44.190, 6
37.78.105.176, 2
179.208.151.103, 2
1.189.205.173, 2
175.162.187.121, 6
91.243.236.123, 2
93.120.176.237, 6
183.152.79.79, 6
122.191.89.89, 2
60.187.118.40, 6
111.40.168.90, 2
218.60.136.106, 2
181.25.206.27, 12
