60.187, 6
122.112, 2
95.190, 2
123.119, 2
123.164, 2
111.40, 14
91.243, 2
24.151, 157
181.25, 26
73.231, 2
183.146, 6
122.189, 10
221.194, 6
49.84, 6
181.26, 27
103.230, 6
14.54, 12
34.204, 43
93.120, 6
37.110, 2
116.255, 2
77.231, 4
49.4, 44
186.130, 2
175.162, 6
37.78, 2
42.184, 6
58.100, 2
1.30, 6
190.107, 2
58.19, 6
126.59, 2
218.60, 2
223.244, 6
122.144, 2
123.120, 2
119.193, 8
179.38, 6
186.47, 2
61.183, 6
112.251, 6
122.163, 30
127.0, 1
222.89, 2
122.190, 6
61.174, 2
94.154, 2
85.245, 11
61.166, 6
105.101, 6
5.167, 2
114.32, 6
122.191, 4
178.219, 6
188.18, 2
123.96, 6
151.241, 2
201.178, 34
1.189, 2
110.78, 6
46.30, 6
222.186, 8
125.107, 6
112.101, 2
218.91, 2
191.81, 2
60.165, 2
222.187, 2
122.244, 2
46.89, 6
186.128, 2
182.243, 8
78.106, 6
201.27, 2
82.64, 6
183.93, 8
183.152, 6
179.208, 2
123.153, 6
186.129, 2
177.38, 6
191.83, 2
170.79, 2
219.82, 2
178.161, 2
181.211, 2
106.57, 2
59.174, 2
181.23, 4
68.182, 2
122.5, 2
